cidade,codestacao,datahora,id_sensor,latitude,longitude,nome,offset,qualificacao,uf,valor
RECIFE,261160609A,2025-10-16 21:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-10-16 22:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160618A,2025-10-16 22:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160609A,2025-10-16 22:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-16 23:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-16 23:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-16 23:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-10-17 00:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160618A,2025-10-17 00:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160609A,2025-10-17 00:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-10-17 01:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160618A,2025-10-17 01:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160609A,2025-10-17 01:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-10-17 02:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160618A,2025-10-17 02:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160609A,2025-10-17 02:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 03:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 03:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 03:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 04:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 04:10:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160614A,2025-10-17 04:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 04:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 05:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 05:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 05:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-10-17 06:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160618A,2025-10-17 06:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160609A,2025-10-17 06:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 07:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 07:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 07:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 08:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 08:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 08:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 09:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 09:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 09:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-10-17 10:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160618A,2025-10-17 10:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160609A,2025-10-17 10:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-10-17 11:00:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.3938305115
RECIFE,261160618A,2025-10-17 11:00:00,10,-8.037,-34.884,Torreão,,4,PE,0.5895030263
RECIFE,261160618A,2025-10-17 11:10:00,10,-8.037,-34.884,Torreão,,4,PE,0.39268
RECIFE,261160614A,2025-10-17 11:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 11:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-10-17 11:50:00,10,-8.013,-34.881,Campina do Barreto,,4,PE,0.2
RECIFE,261160618A,2025-10-17 12:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 12:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 12:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 13:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 13:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 13:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 13:50:00,10,-8.037,-34.884,Torreão,,4,PE,0.2
RECIFE,261160618A,2025-10-17 14:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 14:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 14:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 15:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 15:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 15:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 16:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 16:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 16:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 17:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 17:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 17:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160614A,2025-10-17 18:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160618A,2025-10-17 18:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 19:20:00,10,-8.013,-34.881,Campina do Barreto,,0,PE,0.0
RECIFE,261160609A,2025-10-17 18:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160609A,2025-10-17 19:40:00,10,-8.120975,-34.913983,Imbiribeira,,0,PE,0.0
RECIFE,261160618A,2025-10-17 19:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160618A,2025-10-17 20:00:00,10,-8.037,-34.884,Torreão,,0,PE,0.0
RECIFE,261160614A,2025-10-17 20:20:00,10,-8.013,-34.881,Campina do Barreto,,0000,PE,0.0
RECIFE,261160614A,2025-10-17 21:20:00,10,-8.013,-34.881,Campina do Barreto,,0000,PE,0.0
RECIFE,261160614A,2025-10-17 22:20:00,10,-8.013,-34.881,Campina do Barreto,,0000,PE,0.0
RECIFE,261160609A,2025-10-17 20:40:00,10,-8.120975,-34.913983,Imbiribeira,,0004,PE,0.9817
RECIFE,261160609A,2025-10-17 21:40:00,10,-8.120975,-34.913983,Imbiribeira,,0000,PE,0.0
RECIFE,261160609A,2025-10-17 22:40:00,10,-8.120975,-34.913983,Imbiribeira,,0000,PE,0.0
RECIFE,261160618A,2025-10-17 21:00:00,10,-8.037,-34.884,Torreão,,0000,PE,0.0
RECIFE,261160618A,2025-10-17 22:00:00,10,-8.037,-34.884,Torreão,,0000,PE,0.0
RECIFE,261160618A,2025-10-17 23:00:00,10,-8.037,-34.884,Torreão,,0000,PE,0.0
